|João da Silva |	Ter melhor acesso a restaurantes, lanchonetes, shoppings, cinema |	Conseguir ter lazer ou resolver problemas tranquilamente |
|João da Silva |	Os mesmos acessos a locais que todas as pessoas têm |	Que eu possa frequentar os mesmos ambientes |
|João da Silva |	Conhecer locais que possuam excelente estrutura de acessibilidade |	Para que possa frequentar e prestigiar tais estabelecimentos |
|Adriano Carvalho |	Locais onde possua espaço kids |	Ir a locais com a esposa e amigos sem ter uma preocupação extra com o filho |
|Adriano Carvalho |	Espaço igualitário de fraldário em banheiros masculinos e femininos |	Sair com o filho e poder trocar sua fralda de maneira adequada |
|Patrique Henrique da Silva |	Gostaria de encontrar informações de estabelecimentos acessíveis, que tenham cardápio braile, botão de acionamento de funcionário na mesa, piso tátil e um banheiro de uso individual |	Para me divertir com meus amigos com total independência |
|Patrique Henrique da Silva |	Queria que as informações desses locais fossem encontradas de maneira acessível |	Porque muitos dos sites que eu acesso meu leitor de telas não consegue interpretar as informações |
|Patrique Henrique da Silva |	Gostaria de poder encontrar locais mais próximo de sua localização |	Porque a mobilidade para a pessoa com deficiência também é impeditiva, locais mais pertos facilitariam. |
|Patrique Henrique da Silva |	Gostaria de visualizar os comentários dos estabelecimentos e poder dar minha opinião |	Porque assim decidiria se é um bom lugar para frequentar e depois de eu ir poderia dar minha opinião também |
|Ana Carolina Martins |	Gostaria de poder divulgar minha pousada para comunidade surda |	Pois por eu ser uma pessoa com deficiência todos os funcionários e eu temos conhecimentos de Libras, assim teria um lugar para comunidade frequentar com alguma integração. |
|Ana Carolina Martins |	Gostaria de ter os feedbacks dos meus hóspedes em algum lugar |	Sinto que as pessoas que não têm deficiência e que se hospedam aqui ficam um pouco desconfortáveis em razão da minha deficiência, gostaria de ter essa resposta. |
|Ana Carolina Martins |	Gostaria de aprender com outros estabelecimentos como tornar minha pousada mais acessível |	Porque hoje temos uma integração muito grande apenas com os deficientes auditivos, queria expandir essa inclusão |
|Vinícius Rosa |	Ter informações sobre estabelecimentos preparados para recepcionar pessoas com baixa visão, como cardápios adaptados. |	Que possa se sentir confortável nos locais e não se sentir constrangido |
|Isabela Teixeira |	Ir a locais sem escadas ou degraus, que não estejam muito cheios e que tenham filas preferenciais com banheiros individuais. |	Que possa ter momentos de lazer que não comprometam a saúde da gravidez e não provoquem mal estar |
|Claudia dos Santos |Ir a locais que outras mães de pessoa com TEA recomendam. |	Que possa ajudar o filho a se desenvolver e ter momentos de lazer com a família | 
